time [s], x [m], y [m], z[m], E [MeV], px [MeV], py [MeV], pz [MeV]
8.4E-11,2.8575309E-5,-7.676035E-6,0.0133771375,1093.9263000769292,-4.401692,-1.6417149,562.85754
8.5E-11,2.7368182E-5,-8.1262615E-6,0.013531497,1093.2459124094632,-11.957383,-1.2659695,561.425
8.6E-11,2.4086929E-5,-8.473659E-6,0.013685558,1092.5648150109905,-13.60141,-4.238528,560.0455
8.7E-11,2.035221E-5,-9.637488E-6,0.013839338,1091.8830065533577,-18.961546,6.798882,558.53265
8.8E-11,1.5142436E-5,-7.769463E-6,0.013992797,1091.2004857037043,-18.602001,9.148522,557.17566
8.9E-11,1.0028251E-5,-5.2542914E-6,0.01414598,1090.5171938121837,-27.368149,11.08943,555.43835
9.0E-11,2.4993058E-6,-2.203602E-6,0.01429878,1089.8331294285379,-21.71214,10.326757,554.3593
9.1E-11,-3.477427E-6,6.3905986E-7,0.014451379,1089.1484058657938,-17.610798,21.367783,552.8413
9.2E-11,-8.328226E-6,6.5246995E-6,0.014603657,1088.4628496186722,-19.351944,21.433487,551.4286
9.3E-11,-1.366197E-5,1.2432155E-5,0.01475564,1087.7765740261186,-20.329498,23.084087,549.97064
9.4E-11,-1.9268682E-5,1.879856E-5,0.014907317,1087.0894627398427,-22.03739,21.196043,548.6207
9.5E-11,-2.5350257E-5,2.4647952E-5,0.015058719,1086.4016292329463,-21.476418,19.288052,547.34937
9.6E-11,-3.1280775E-5,2.9974173E-5,0.015209864,1085.7130721327803,-19.308006,22.118393,545.95496
9.7E-11,-3.661589E-5,3.6085843E-5,0.0153607195,1085.023674856913,-18.840542,17.002203,544.78284
9.8E-11,-4.182514E-5,4.078681E-5,0.015511348,1084.3334358028437,-24.446678,19.645462,543.09436
9.9E-11,-4.8588747E-5,4.6222074E-5,0.015661605,1083.6424687137358,-26.366377,19.980518,541.61115
1.0E-10,-5.5888122E-5,5.175356E-5,0.015811546,1082.9507144833508,-22.192095,18.07594,540.4803
1.01E-10,-6.20358E-5,5.6760975E-5,0.01596127,1082.258056103072,-33.535084,21.18819,538.3911
1.02E-10,-7.133166E-5,6.26343E-5,0.016110511,1081.5646074090996,-31.09199,25.178616,536.9706
1.03E-10,-7.995583E-5,6.961825E-5,0.016259454,1080.8703668803212,-30.873564,25.795353,535.55414
1.04E-10,-8.852492E-5,7.677785E-5,0.016408099,1080.1753329899734,-29.36701,18.930872,534.52216
1.05E-10,-9.668109E-5,8.203557E-5,0.016556554,1079.479388409061,-29.64282,11.987966,533.3005
1.06E-10,-1.04919185E-4,8.5367166E-5,0.016704764,1078.7826472464228,-31.352053,17.455807,531.6393
1.07E-10,-1.13637914E-4,9.0221474E-5,0.016852608,1078.085049984462,-34.794277,15.917552,530.05597
1.08E-10,-1.2332016E-4,9.465087E-5,0.017000107,1077.3865369494831,-23.347029,12.020043,529.36584
1.09E-10,-1.2982117E-4,9.799787E-5,0.017147511,1076.6871644075636,-16.386385,17.254448,528.05786
1.1E-10,-1.3438695E-4,1.0280552E-4,0.017294645,1075.9869887689163,-23.9597,16.601973,526.3595
1.11E-10,-1.4106724E-4,1.0743438E-4,0.017441401,1075.285892216577,-32.665672,19.235909,524.365
1.12E-10,-1.5018083E-4,1.1280111E-4,0.017587697,1074.5838729480356,-22.129192,14.114258,523.63885
1.13E-10,-1.563588E-4,1.167415E-4,0.017733885,1073.8810455539292,-31.88826,11.79973,521.7474
1.14E-10,-1.6526713E-4,1.2003788E-4,0.01787964,1073.1772337316888,-31.693665,8.851883,520.3677
1.15E-10,-1.741269E-4,1.2251237E-4,0.018025106,1072.472552096323,-36.25238,-3.5705767,518.6775
1.16E-10,-1.8426769E-4,1.2151358E-4,0.018170195,1071.7668823023037,-32.47652,-7.069497,517.4317
1.17E-10,-1.9335824E-4,1.1953474E-4,0.01831503,1071.0603391032646,-24.951284,-8.542252,516.363
1.18E-10,-2.00347E-4,1.17142095E-4,0.018459661,1070.3528623776367,-23.224174,-9.998616,514.9484
1.19E-10,-2.068563E-4,1.14339666E-4,0.018603992,1069.6443918424477,-28.388813,-12.271463,513.16534
1.2E-10,-2.1481843E-4,1.1089793E-4,0.018747918,1068.9350424604854,-30.937206,-8.114456,511.62015
1.21E-10,-2.2350105E-4,1.0862058E-4,0.018891506,1068.2246954643952,-31.12824,-22.82269,509.6765
1.22E-10,-2.322431E-4,1.0221106E-4,0.019034643,1067.5133488626734,-28.716719,-28.498714,508.03937
1.23E-10,-2.4031327E-4,9.420215E-5,0.019177414,1066.8010592420687,-28.93627,-26.344992,506.64502
1.24E-10,-2.4845058E-4,8.679356E-5,0.019319892,1066.0877660868264,-32.11835,-32.977474,504.5593
1.25E-10,-2.5748878E-4,7.751361E-5,0.019461876,1065.373526046147,-35.55117,-32.679577,502.83682
1.26E-10,-2.6749968E-4,6.831132E-5,0.01960347,1064.658219805774,-44.340233,-34.4127,500.5026
1.27E-10,-2.799939E-4,5.861449E-5,0.019744502,1063.9419627028535,-38.43253,-33.44264,499.5327
1.28E-10,-2.908307E-4,4.918466E-5,0.019885356,1063.2245764653862,-37.55685,-32.447243,498.1357
1.29E-10,-3.0142776E-4,4.002933E-5,0.020025909,1063.2245764653862,-37.55685,-32.447243,498.1357
1.3E-10,-3.1202484E-4,3.0873995E-5,0.020166464,1063.2245764653862,-37.55685,-32.447243,498.1357
1.31E-10,-3.226219E-4,2.1718664E-5,0.020307017,1063.2245764653862,-37.55685,-32.447243,498.1357
1.32E-10,-3.3321895E-4,1.2563334E-5,0.020447573,1063.2245764653862,-37.55685,-32.447243,498.1357
1.33E-10,-3.43816E-4,3.408003E-6,0.020588126,1063.2245764653862,-37.55685,-32.447243,498.1357
1.34E-10,-3.544131E-4,-5.747328E-6,0.020728681,1063.2245764653862,-37.55685,-32.447243,498.1357
1.35E-10,-3.6501014E-4,-1.4902659E-5,0.020869235,1063.2245764653862,-37.55685,-32.447243,498.1357
1.36E-10,-3.756072E-4,-2.405799E-5,0.02100979,1063.2245764653862,-37.55685,-32.447243,498.1357
1.37E-10,-3.8620425E-4,-3.321332E-5,0.021150343,1063.2245764653862,-37.55685,-32.447243,498.1357
1.38E-10,-3.9680133E-4,-4.236865E-5,0.021290898,1063.2245764653862,-37.55685,-32.447243,498.1357
1.39E-10,-4.073984E-4,-5.1523984E-5,0.021431452,1063.2245764653862,-37.55685,-32.447243,498.1357
1.4E-10,-4.1799544E-4,-6.0679315E-5,0.021572007,1063.2245764653862,-37.55685,-32.447243,498.1357
1.41E-10,-4.285925E-4,-6.983465E-5,0.02171256,1063.2245764653862,-37.55685,-32.447243,498.1357
1.42E-10,-4.3918958E-4,-7.898998E-5,0.021853115,1063.2245764653862,-37.55685,-32.447243,498.1357
